pack_id,tube_id,particle_id,id,ore_type,rm_number,density_bin,created_at,density_g_per_cm3,volume_cm3,weight_g,axis_length_mm,volume_normalised_magnetic_susceptibility,weight_normalised_magnetic_susceptibility,photo_url
55,TUBE-01,RT-XRM43971-0802,974,HGM,RM43971,1190573,2025-03-17T01:19:34.485201,4.148516,0.241895,1.0035,13.77,0.005489902643709047,1.3233482810164422e-06,http://130.56.245.232/photo360/v1/RT-XRM43971-0802/20250324101655
55,TUBE-01,RT-XRM43971-0800,975,HGM,RM43971,1190573,2025-03-17T01:19:14.838652,4.0342,0.1691,0.6821,12.47,0.001529390892962744,3.7915261691834043e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0800/20250320135847
55,TUBE-01,RT-XRM43971-0804,976,GMO,RM43971,1190575,2025-03-17T03:40:12.897366,4.086,0.2283,0.9327,13.06,0.0014790918382245582,3.620420999964262e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0804/20250324102650
55,TUBE-01,RT-XRM43971-0788,977,HGM,RM43971,1190573,2025-03-17T01:11:11.270408,4.5488,0.1295,0.589,11.42,0.0021251737451737454,4.6724957555178267e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0788/20250319135148
56,TUBE-02,RT-XRM43971-0822,978,GOC,RM43971,1190575,2025-03-17T04:13:08.439930,4.1476,0.1625,0.6741,10.38,0.0014027692307692309,3.381545764723335e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0822/20250324134533
56,TUBE-02,RT-XRM43971-0821,979,GOC,RM43971,1190575,2025-03-17T04:12:40.190707,4.2193,0.0884,0.3728,12.01,0.001393099547511312,3.30337982832618e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0821/20250324133444
56,TUBE-02,RT-XRM43971-0814,980,GOE,RM43971,1190575,2025-03-17T03:57:39.018330,4.0208,0.1644,0.6612,12.55,0.0013489456609894568,3.354002823149829e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0814/20250324115428
56,TUBE-02,RT-XRM43971-0790,981,HGM,RM43971,1190573,2025-03-17T01:11:30.815086,4.5794,0.2187,1.0016,13.85,0.0021645747599451305,4.726362819488818e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0790/20250319140145
56,TUBE-02,RT-XRM43971-0782,982,HGM,RM43971,1190573,2025-03-17T01:05:57.172031,4.2233,0.1324,0.5591,10.43,0.0014129531722054383,3.3460025040243245e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0782/20250319131144
56,TUBE-02,RT-XRM43971-0784,983,HGM,RM43971,1190573,2025-03-17T01:06:13.989461,4.4702,0.1694,0.7571,11.67,0.0038536452184179445,8.622473913617749e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0784/20250319133014
56,TUBE-02,RT-XRM43971-0781,984,HGM,RM43971,1190573,2025-03-17T01:05:47.341662,5.1118,0.1925,0.9838,17.97,0.010289610389610388,2.01336653791421e-06,http://130.56.245.232/photo360/v1/RT-XRM43971-0781/20250319130259
56,TUBE-02,RT-XRM43971-0820,985,GOC,RM43971,1190575,2025-03-17T04:11:26.515849,4.0811,0.1704,0.6955,11.47,0.001449119718309859,3.5503953989935296e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0820/20250324122631
