created_at,particle_id,ore_type,rm_number,density_bin
2025-03-11T00:49:46.226739,RT-XRM43971-0625,GMI,RM43971,1190568
2025-03-11T00:52:47.990646,RT-XRM43971-0626,GMI,RM43971,1190568
2025-03-13T22:35:47.383424,RT-XRM43971-0627,HGM,RM43971,1190568
2025-03-13T22:38:08.237300,RT-XRM43971-0628,HGM,RM43971,1190568
2025-03-13T22:39:48.065474,RT-XRM43971-0631,GOS,RM43971,1190568
2025-03-13T22:41:24.842306,RT-XRM43971-0632,GOS,RM43971,1190568
2025-03-13T22:44:03.637977,RT-XRM43971-0629,HGM,RM43971,1190568
2025-03-13T22:45:24.382188,RT-XRM43971-0630,HGM,RM43971,1190568
2025-03-13T22:48:15.132761,RT-XRM43971-0633,CHG,RM43971,1190570
2025-03-13T22:49:23.000754,RT-XRM43971-0634,HGF,RM43971,1190570
2025-03-13T22:51:03.334008,RT-XRM43971-0635,TIG,RM43971,1190570
2025-03-13T22:52:46.447497,RT-XRM43971-0636,BPO,RM43971,1190570
2025-03-13T22:54:01.852639,RT-XRM43971-0637,BPO,RM43971,1190570
2025-03-13T22:55:45.666215,RT-XRM43971-0638,GOC,RM43971,1190570
2025-03-13T22:57:18.961646,RT-XRM43971-0639,GOC,RM43971,1190570
2025-03-13T22:58:58.164269,RT-XRM43971-0640,DET,RM43971,1190570
2025-03-13T22:59:57.821431,RT-XRM43971-0641,DET,RM43971,1190570
2025-03-14T00:04:27.132801,RT-XRM43971-0642,H2M,RM43971,1190570
2025-03-14T00:07:07.965741,RT-XRM43971-0643,H2M,RM43971,1190570
2025-03-14T00:08:50.455493,RT-XRM43971-0644,GMX,RM43971,1190570
2025-03-14T00:10:01.275728,RT-XRM43971-0645,GMX,RM43971,1190570
2025-03-14T00:13:09.229255,RT-XRM43971-0646,GMO,RM43971,1190570
2025-03-14T00:14:17.133326,RT-XRM43971-0647,GMO,RM43971,1190570
2025-03-14T00:18:48.094197,RT-XRM43971-0648,GOE,RM43971,1190570
2025-03-14T00:19:50.985448,RT-XRM43971-0649,GOE,RM43971,1190570
2025-03-14T00:20:52.473144,RT-XRM43971-0650,GOE,RM43971,1190570
2025-03-14T00:23:05.953916,RT-XRM43971-0651,GOE,RM43971,1190570
2025-03-14T00:24:15.954475,RT-XRM43971-0652,GOE,RM43971,1190570
2025-03-14T00:25:23.149753,RT-XRM43971-0653,GOE,RM43971,1190570
2025-03-14T00:29:23.020126,RT-XRM43971-0654,HGM,RM43971,1190570
2025-03-14T00:31:13.390495,RT-XRM43971-0655,HGM,RM43971,1190570
2025-03-14T00:32:51.731291,RT-XRM43971-0656,HGM,RM43971,1190570
2025-03-14T00:34:59.561236,RT-XRM43971-0657,HGM,RM43971,1190570
2025-03-14T00:35:57.404825,RT-XRM43971-0658,HGM,RM43971,1190570
2025-03-14T00:37:01.104302,RT-XRM43971-0659,HGM,RM43971,1190570
2025-03-14T00:39:30.174502,RT-XRM43971-0660,HGM,RM43971,1190570
2025-03-14T02:07:42.456780,RT-XRM43971-0661,HGM,RM43971,1190570
2025-03-14T02:08:51.872532,RT-XRM43971-0662,HGM,RM43971,1190570
2025-03-14T02:09:46.537679,RT-XRM43971-0663,HGM,RM43971,1190570
2025-03-14T02:11:29.661052,RT-XRM43971-0664,HGM,RM43971,1190570
2025-03-14T02:12:30.295289,RT-XRM43971-0665,HGM,RM43971,1190570
2025-03-14T02:15:42.832102,RT-XRM43971-0666,HGM,RM43971,1190570
2025-03-14T02:16:49.548790,RT-XRM43971-0667,HGM,RM43971,1190570
2025-03-14T02:17:55.635058,RT-XRM43971-0668,HGM,RM43971,1190570
2025-03-14T02:18:39.897069,RT-XRM43971-0669,HGM,RM43971,1190570
2025-03-14T02:20:13.231270,RT-XRM43971-0670,HGM,RM43971,1190570
2025-03-14T02:21:32.810843,RT-XRM43971-0671,HGM,RM43971,1190570
2025-03-14T02:22:16.428282,RT-XRM43971-0672,HGM,RM43971,1190570
2025-03-14T02:22:57.641490,RT-XRM43971-0673,HGM,RM43971,1190570
2025-03-14T02:24:36.796912,RT-XRM43971-0674,HGM,RM43971,1190570
2025-03-14T02:25:25.558166,RT-XRM43971-0675,HGM,RM43971,1190570
2025-03-14T02:30:39.757155,RT-XRM43971-0677,HGM,RM43971,1190570
2025-03-14T02:31:31.538014,RT-XRM43971-0676,HGM,RM43971,1190570
2025-03-14T02:33:06.367846,RT-XRM43971-0678,HGH,RM43971,1190573
2025-03-14T02:35:05.811411,RT-XRM43971-0679,HES,RM43971,1190573
2025-03-14T02:36:51.272670,RT-XRM43971-0680,HES,RM43971,1190573
2025-03-14T02:39:19.417994,RT-XRM43971-0690,GOC,RM43971,1190573
2025-03-14T02:40:50.086828,RT-XRM43971-0691,GOC,RM43971,1190573
2025-03-14T02:44:05.482108,RT-XRM43971-0687,GOH,RM43971,1190573
2025-03-14T02:45:30.439790,RT-XRM43971-0688,GOH,RM43971,1190573
2025-03-14T02:46:28.744384,RT-XRM43971-0689,GOH,RM43971,1190573
2025-03-14T02:48:50.541905,RT-XRM43971-0681,GOV,RM43971,1190573
2025-03-14T02:49:53.843994,RT-XRM43971-0682,GOV,RM43971,1190573
2025-03-14T02:51:14.203301,RT-XRM43971-0683,GMO,RM43971,1190573
2025-03-14T02:52:54.217921,RT-XRM43971-0684,GMO,RM43971,1190573
2025-03-14T02:53:46.634732,RT-XRM43971-0685,GMO,RM43971,1190573
2025-03-14T02:54:52.103508,RT-XRM43971-0686,GMO,RM43971,1190573
2025-03-14T02:58:13.562561,RT-XRM43971-0692,HGF,RM43971,1190573
2025-03-14T02:59:02.353372,RT-XRM43971-0693,HGF,RM43971,1190573
2025-03-14T03:01:22.565679,RT-XRM43971-0694,HGF,RM43971,1190573
2025-03-14T03:02:15.591362,RT-XRM43971-0695,HGF,RM43971,1190573
2025-03-14T03:04:02.213201,RT-XRM43971-0696,HGF,RM43971,1190573
2025-03-14T03:07:26.242473,RT-XRM43971-0697,HGF,RM43971,1190573
2025-03-14T03:08:32.867998,RT-XRM43971-0698,HGF,RM43971,1190573
2025-03-14T03:10:37.960689,RT-XRM43971-0699,HGF,RM43971,1190573
2025-03-14T03:12:19.679182,RT-XRM43971-0700,GOE,RM43971,1190573
2025-03-14T03:14:17.667874,RT-XRM43971-0701,GOE,RM43971,1190573
2025-03-14T03:15:18.465484,RT-XRM43971-0702,GOE,RM43971,1190573
2025-03-14T03:16:05.366316,RT-XRM43971-0703,GOE,RM43971,1190573
2025-03-14T03:17:46.661975,RT-XRM43971-0704,GOE,RM43971,1190573
2025-03-14T03:18:35.668741,RT-XRM43971-0705,GOE,RM43971,1190573
2025-03-14T03:19:52.016043,RT-XRM43971-0706,GOE,RM43971,1190573
2025-03-14T03:20:38.220370,RT-XRM43971-0707,GOE,RM43971,1190573
2025-03-14T03:23:59.050704,RT-XRM43971-0708,GOE,RM43971,1190573
2025-03-14T03:24:45.707012,RT-XRM43971-0709,GOE,RM43971,1190573
2025-03-14T03:25:32.937300,RT-XRM43971-0710,GOE,RM43971,1190573
2025-03-14T03:27:57.830341,RT-XRM43971-0711,GOE,RM43971,1190573
2025-03-14T03:28:47.054638,RT-XRM43971-0712,GOE,RM43971,1190573
2025-03-14T03:29:43.931357,RT-XRM43971-0713,GOE,RM43971,1190573
2025-03-14T03:30:21.372381,RT-XRM43971-0714,GOE,RM43971,1190573
2025-03-14T03:37:48.374272,RT-XRM43971-0715,GMI,RM43971,1190573
2025-03-14T03:38:58.190419,RT-XRM43971-0716,GMI,RM43971,1190573
2025-03-14T03:39:58.900332,RT-XRM43971-0717,GMI,RM43971,1190573
2025-03-14T03:40:45.449213,RT-XRM43971-0718,GMI,RM43971,1190573
2025-03-14T03:42:34.000859,RT-XRM43971-0719,GMI,RM43971,1190573
2025-03-14T03:43:20.356458,RT-XRM43971-0720,GMI,RM43971,1190573
2025-03-14T03:44:19.825315,RT-XRM43971-0721,GMI,RM43971,1190573
2025-03-16T23:45:47.136407,RT-XRM43971-0722,HGM,RM43971,1190573
2025-03-16T23:46:56.207821,RT-XRM43971-0723,HGM,RM43971,1190573
2025-03-16T23:50:49.058451,RT-XRM43971-0724,HGM,RM43971,1190573
2025-03-16T23:51:46.750027,RT-XRM43971-0725,HGM,RM43971,1190573
2025-03-16T23:53:08.832992,RT-XRM43971-0726,HGM,RM43971,1190573
2025-03-16T23:53:16.884848,RT-XRM43971-0727,HGM,RM43971,1190573
2025-03-16T23:53:26.495000,RT-XRM43971-0728,HGM,RM43971,1190573
2025-03-16T23:53:37.098788,RT-XRM43971-0729,HGM,RM43971,1190573
2025-03-16T23:53:59.806324,RT-XRM43971-0730,HGM,RM43971,1190573
2025-03-17T00:18:40.798473,RT-XRM43971-0731,HGM,RM43971,1190573
2025-03-17T00:18:48.663831,RT-XRM43971-0732,HGM,RM43971,1190573
2025-03-17T00:18:57.515523,RT-XRM43971-0733,HGM,RM43971,1190573
2025-03-17T00:19:10.550911,RT-XRM43971-0734,HGM,RM43971,1190573
2025-03-17T00:19:18.811057,RT-XRM43971-0735,HGM,RM43971,1190573
2025-03-17T00:19:27.960132,RT-XRM43971-0736,HGM,RM43971,1190573
2025-03-17T00:19:36.702161,RT-XRM43971-0738,HGM,RM43971,1190573
2025-03-17T00:19:53.986598,RT-XRM43971-0737,HGM,RM43971,1190573
2025-03-17T00:20:02.897618,RT-XRM43971-0739,HGM,RM43971,1190573
2025-03-17T00:33:12.301448,RT-XRM43971-0740,HGM,RM43971,1190573
2025-03-17T00:34:46.294551,RT-XRM43971-0741,HGM,RM43971,1190573
2025-03-17T00:35:00.001522,RT-XRM43971-0742,HGM,RM43971,1190573
2025-03-17T00:35:13.386610,RT-XRM43971-0743,HGM,RM43971,1190573
2025-03-17T00:35:26.770423,RT-XRM43971-0744,HGM,RM43971,1190573
2025-03-17T00:38:21.260270,RT-XRM43971-0745,HGM,RM43971,1190573
2025-03-17T00:38:41.525748,RT-XRM43971-0746,HGM,RM43971,1190573
2025-03-17T00:39:07.451434,RT-XRM43971-0747,HGM,RM43971,1190573
