pack_id,acquisition_id,visualisation_url,gadi_location,particle_id
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0032,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/ZEFUK3VhZz6kaqXAzMryZDMw1W_2SdiuH9u57oUdW9k=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0032.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0032.ome.zarr,RT-XRM43971-0032
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0034,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/ggNLRji0Y9yyMSOn5K8JP4Chq5qpzFqpNJdtc2M6adA=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0034.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0034.ome.zarr,RT-XRM43971-0034
16,TUBE-01_2025-02-18_16__firstscan/RT-XRM43971-0035,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/FukylQdNocB1wuvS7ouO2xbgOIMtMoaVhuk--TwJUsA=/RT_WEX1/TUBE-01_2025-02-18_16__firstscan/tomo_RT-XRM43971-0035.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_16__firstscan/data/particle_tomos/tomo_RT-XRM43971-0035.ome.zarr,RT-XRM43971-0035
17,TUBE-01_2025-02-18_17__fixed,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/iXXaieQPNEzlHoN45_qRUW_E2whCXDynXysN71VtzuY=/RT_WEX1/TUBE-01_2025-02-18_17__fixed/tomoHiRes.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_17__fixed/data/pack_tomo/tomoHiRes.ome.zarr,
17,TUBE-01_2025-02-18_17__fixed/RT-XRM43971-0002,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/1e5EpmNIG4g4ex8q0EGVMsK68gvG0ZPPy-NQDvjTRr8=/RT_WEX1/TUBE-01_2025-02-18_17__fixed/tomo_RT-XRM43971-0002.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_17__fixed/data/particle_tomos/tomo_RT-XRM43971-0002.ome.zarr,RT-XRM43971-0002
17,TUBE-01_2025-02-18_17__fixed/RT-XRM43971-0003,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/zXP8Qs5He8OU40PtJ6hhw-xAMazsLUbyHjeCacO0Goo=/RT_WEX1/TUBE-01_2025-02-18_17__fixed/tomo_RT-XRM43971-0003.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_17__fixed/data/particle_tomos/tomo_RT-XRM43971-0003.ome.zarr,RT-XRM43971-0003
17,TUBE-01_2025-02-18_17__fixed/RT-XRM43971-0005,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/HR6ZSWgrsdz4sp12lYK3L1pSais5Cv-3n-N6LIsfXqA=/RT_WEX1/TUBE-01_2025-02-18_17__fixed/tomo_RT-XRM43971-0005.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_17__fixed/data/particle_tomos/tomo_RT-XRM43971-0005.ome.zarr,RT-XRM43971-0005
17,TUBE-01_2025-02-18_17__fixed/RT-XRM43971-0006,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/_Z6l-dbcwJUrBEMFKiW5mNDQuzpEBhGkIZmt4ytwQWA=/RT_WEX1/TUBE-01_2025-02-18_17__fixed/tomo_RT-XRM43971-0006.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_17__fixed/data/particle_tomos/tomo_RT-XRM43971-0006.ome.zarr,RT-XRM43971-0006
17,TUBE-01_2025-02-18_17__fixed/RT-XRM43971-0008,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/8N6FBZZYZtvWDct4xQIqouACSutOuhjGfE8uFvljOgw=/RT_WEX1/TUBE-01_2025-02-18_17__fixed/tomo_RT-XRM43971-0008.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_17__fixed/data/particle_tomos/tomo_RT-XRM43971-0008.ome.zarr,RT-XRM43971-0008
17,TUBE-01_2025-02-18_17__fixed/RT-XRM43971-0010,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/tFiKrWVF39_pyUNnc2Zbzb2to5o0KYr1voo1CXDFmQ4=/RT_WEX1/TUBE-01_2025-02-18_17__fixed/tomo_RT-XRM43971-0010.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_17__fixed/data/particle_tomos/tomo_RT-XRM43971-0010.ome.zarr,RT-XRM43971-0010
