measurement_id,particle_id,ore_type,rm_number,density_bin,density_bin_g_per_cm3,operator,density_g_per_cm3,density_g_per_cm3_std,machine,cup,created_at,valid,volume_measurement_id,volume_cm3,volume_valid
550,RT-XRM43971-0346,HGM,RM43971,1190577,3.55,Indiana Veal,4.8563,0.0131,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-10 16:20:18.323203+11:00,True,413,0.2574,True
551,RT-XRM43971-0347,HGM,RM43971,1190577,3.55,Indiana Veal,5.1423,0.0091,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-10 16:20:18.420599+11:00,True,414,0.1765,True
552,RT-XRM43971-0348,HGM,RM43971,1190577,3.55,Indiana Veal,5.1327,0.0094,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-10 16:20:18.500493+11:00,True,415,0.129,True
553,RT-XRM43971-0349,HGM,RM43971,1190577,3.55,Indiana Veal,4.7678,0.0085,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-10 16:20:18.583875+11:00,True,416,0.1525,True
554,RT-XRM43971-0350,HGM,RM43971,1190577,3.55,Indiana Veal,4.8816,0.0119,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-10 16:20:18.659180+11:00,True,417,0.1903,True
555,RT-XRM43971-0351,HGM,RM43971,1190577,3.55,Indiana Veal,4.38,0.0056,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-10 16:20:18.747192+11:00,True,418,0.2209,True
556,RT-XRM43971-0352,HGM,RM43971,1190577,3.55,Indiana Veal,4.6342,0.0074,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 10:10:02.575160+11:00,True,419,0.1719,True
557,RT-XRM43971-0353,HGM,RM43971,1190577,3.55,Indiana Veal,5.1195,0.0055,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 10:20:03.083061+11:00,True,420,0.1662,True
558,RT-XRM43971-0354,HGM,RM43971,1190577,3.55,Indiana Veal,4.5149,0.003,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 10:30:01.918557+11:00,True,421,0.3203,True
559,RT-XRM43971-0355,HGM,RM43971,1190577,3.55,Indiana Veal,4.9801,0.0033,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 10:40:01.745491+11:00,True,422,0.2004,True
560,RT-XRM43971-0356,HGM,RM43971,1190579,3.75,Indiana Veal,4.7736,0.0044,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 10:40:01.809692+11:00,True,423,0.5545,True
