measurement_id,particle_id,operator,magnetic_susceptibility,machine,created_at,valid,volume_normalised_magnetic_susceptibility,weight_normalised_magnetic_susceptibility
64,RT-XRM43971-0064,Pengxiang Hu,4.499566666666666e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.145565,True,0.003137773128777312,6.872715238531643e-07
65,RT-XRM43971-0065,Pengxiang Hu,2.4530333333333335e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.157238,True,0.001647436758450862,3.9906187300037957e-07
66,RT-XRM43971-0066,Pengxiang Hu,9.264e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.169400,True,0.004795031055900621,1.0132341682161215e-06
67,RT-XRM43971-0067,Pengxiang Hu,2.6764000000000003e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.182117,True,0.0024735674676524956,5.646413502109705e-07
68,RT-XRM43971-0068,Pengxiang Hu,6.229166666666667e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.195000,True,0.005093349686563096,1.0084453078625007e-06
69,RT-XRM43971-0069,Pengxiang Hu,6.7712e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.207359,True,0.006737512437810945,1.4279207085617883e-06
70,RT-XRM43971-0070,Pengxiang Hu,1.3579e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.219057,True,0.001273827392120075,3.220825426944972e-07
71,RT-XRM43971-0071,Pengxiang Hu,2.4377333333333335e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.233799,True,0.0014258085144546085,3.787064367458961e-07
72,RT-XRM43971-0072,Pengxiang Hu,3.541433333333334e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.246055,True,0.0014923865711476332,3.80390261367705e-07
73,RT-XRM43971-0073,Pengxiang Hu,2.5985666666666668e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.257815,True,0.0020461154855643047,4.5437430786268e-07
74,RT-XRM43971-0074,Pengxiang Hu,5.6682000000000004e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.268288,True,0.0033147368421052627,6.31413612565445e-07
75,RT-XRM43971-0075,Pengxiang Hu,4.678566666666667e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.279489,True,0.00434004329004329,8.95076844588993e-07
76,RT-XRM43971-0076,Pengxiang Hu,2.5726e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.291195,True,0.0013898433279308483,3.5231443440153385e-07
77,RT-XRM43971-0077,Pengxiang Hu,4.7736e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.303828,True,0.004355474452554744,8.752475247524753e-07
78,RT-XRM43971-0078,Pengxiang Hu,3.120933333333333e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.315449,True,0.001719522497704316,4.198753307323199e-07
79,RT-XRM43971-0079,Pengxiang Hu,2.0388e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.327763,True,0.001634963913392141,3.9921676130800855e-07
80,RT-XRM43971-0080,Pengxiang Hu,4.360233333333333e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.339633,True,0.0016227143034362982,4.056785758590745e-07
81,RT-XRM43971-0081,Pengxiang Hu,6.9695e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.351007,True,0.0032582982702197287,6.412273438218788e-07
82,RT-XRM43971-0082,Pengxiang Hu,7.2419e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.363191,True,0.011137272391732284,2.17867027677497e-06
83,RT-XRM43971-0083,Pengxiang Hu,3.3882999999999994e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.376001,True,0.0016360695316272329,4.0207665836003317e-07
84,RT-XRM43971-0084,Pengxiang Hu,0.00044614,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.388026,True,0.03554900398406374,6.852096452157887e-06
85,RT-XRM43971-0085,Pengxiang Hu,3.316833333333333e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.399703,True,0.0017026865160848733,4.2786807705538356e-07
86,RT-XRM43971-0086,Pengxiang Hu,2.758833333333333e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.412663,True,0.0019510843941537008,4.997886473429952e-07
87,RT-XRM43971-0087,Pengxiang Hu,9.055466666666667e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.424604,True,0.0017076120434973915,4.160754763217546e-07
88,RT-XRM43971-0088,Pengxiang Hu,8.142166666666666e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.436508,True,0.0032169761622547082,6.999799403943144e-07
89,RT-XRM43971-0089,Pengxiang Hu,8.306999999999999e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.448232,True,0.003364261154467659,8.740530303030302e-07
90,RT-XRM43971-0090,Pengxiang Hu,5.943833333333333e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.462257,True,0.002633510559740068,5.758970384006717e-07
91,RT-XRM43971-0091,Pengxiang Hu,0.000141475,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.474195,True,0.0036519101703665464,7.35011429758936e-07
92,RT-XRM43971-0092,Pengxiang Hu,5.9955e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.488531,True,0.0031129283489096577,6.935222672064776e-07
93,RT-XRM43971-0093,Pengxiang Hu,9.766933333333332e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.500950,True,0.0024833290956860748,5.371464188161103e-07
94,RT-XRM43971-0094,Pengxiang Hu,2.5458e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.513815,True,0.0024062381852551985,4.850990853658536e-07
95,RT-XRM43971-0095,Pengxiang Hu,0.0003088166666666667,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.526098,True,0.008042100694444445,1.7327834511652266e-06
96,RT-XRM43971-0096,Pengxiang Hu,4.459233333333334e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.538846,True,0.001369249035322054,3.656308079151635e-07
97,RT-XRM43971-0097,Pengxiang Hu,6.8725e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.552756,True,0.0031510774873911053,7.025659374361073e-07
98,RT-XRM43971-0098,Pengxiang Hu,0.00027963333333333337,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.566356,True,0.011863951350586906,2.4843046671404886e-06
99,RT-XRM43971-0099,Pengxiang Hu,6.139100000000001e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.579228,True,0.001869966494060311,4.4293650793650806e-07
100,RT-XRM43971-0100,Pengxiang Hu,4.9487333333333336e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.594277,True,0.0020365157750342937,4.948733333333334e-07
101,RT-XRM43971-0101,Pengxiang Hu,8.181366666666667e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.607917,True,0.005257947729220223,1.1204281931890806e-06
102,RT-XRM43971-0102,Pengxiang Hu,0.00010469333333333333,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.621097,True,0.0034011108187333976,8.045288045288045e-07
